qid	engine	mode	code	ms	maskHits	rfCust	rfAddr	rfDate	errcode	changed
q26	core	both	0	3514	0	0	0	1		1
q27	core	both	0	3927	0	0	0	1		1
q28	core	both	0	3473	0	0	0	0		1
q29	core	both	0	3684	0	0	0	3		1
q30	core	both	0	4004	5	1	2	1		1
q31	core	both	0	3753	0	0	2	2		1
q32	core	both	0	3458	0	0	0	2		1
q33	core	both	0	3977	0	0	3	3		1
q34	core	both	0	3850	2	1	0	1		1
q35	core	both	0	4098	0	1	1	3		1
q36	core	both	0	3813	0	0	0	1		1
q37	core	both	0	3976	0	0	0	1		1
q38	core	both	0	3926	0	3	0	3		1
q39	core	both	0	3924	0	0	0	1		1
q40	core	both	0	3697	0	0	0	1		1
q41	core	both	0	4019	0	0	0	0		1
q42	core	both	0	3695	0	0	0	1		1
q43	core	both	0	4224	0	0	0	1		1
q44	core	both	0	4422	0	0	0	0		1
q45	core	both	0	3649	0	1	1	1		1
q46	core	both	0	3694	2	1	2	1		1
q47	core	both	0	4434	0	0	0	1		1
q48	core	both	0	3522	0	0	4	1		1
q49	core	both	0	4329	0	0	0	3		1
q50	core	both	0	4143	0	0	0	2		1
q51	core	both	0	4224	0	0	0	2		1
q52	core	both	0	3776	0	0	0	1		1
q53	core	both	0	3644	0	0	0	1		1
q54	core	both	0	4216	0	1	1	4		1
q55	core	both	0	3627	0	0	0	1		1
q56	core	both	0	3702	0	0	3	3		1
q57	core	both	0	3847	0	0	0	1		1
q58	core	both	0	4048	0	0	0	9		1
q59	core	both	0	4034	0	0	0	3		1
q60	core	both	0	3714	0	0	3	3		1
q61	core	both	0	3974	0	2	2	2		1
q62	core	both	0	3634	0	0	0	1		1
q63	core	both	0	3709	0	0	0	1		1
q64	core	both	0	4344	2	1	2	3		1
q65	core	both	0	3610	0	0	0	2		1
